Date,Close,Open,High,Low,Vol.,Change %
30-Sep-19,0.7419,0.7161,0.7452,0.6965,204.56K,3.61%
29-Sep-19,0.7161,0.7379,0.7395,0.6993,153.57K,-2.96%
28-Sep-19,0.7379,0.7351,0.7451,0.7234,158.07K,0.35%
27-Sep-19,0.7353,0.7574,0.758,0.7154,210.08K,-2.92%
26-Sep-19,0.7574,0.7553,0.7933,0.7132,276.66K,0.23%
25-Sep-19,0.7557,0.7458,0.7678,0.7292,244.88K,1.32%
24-Sep-19,0.7458,0.875,0.8831,0.6729,491.72K,-14.76%
23-Sep-19,0.875,0.8973,0.9088,0.8663,176.28K,-2.48%
22-Sep-19,0.8973,0.9227,0.937,0.8889,281.99K,-2.76%
21-Sep-19,0.9227,0.9463,0.9469,0.9199,78.17K,-2.49%
20-Sep-19,0.9463,0.9488,0.9577,0.9258,162.13K,-0.27%
19-Sep-19,0.9488,0.9569,0.9676,0.903,353.18K,-0.87%
18-Sep-19,0.9571,0.9012,0.9716,0.9012,388.03K,6.20%
17-Sep-19,0.9012,0.8906,0.9315,0.867,431.87K,1.17%
16-Sep-19,0.8908,0.9062,0.914,0.8676,225.58K,-1.70%
15-Sep-19,0.9062,0.9019,0.9128,0.8995,142.72K,0.47%
14-Sep-19,0.9019,0.8985,0.9061,0.887,123.01K,0.38%
13-Sep-19,0.8985,0.8789,0.9038,0.8789,96.96K,2.23%
12-Sep-19,0.8789,0.9195,0.9201,0.8732,178.30K,-4.42%
11-Sep-19,0.9195,0.9062,0.9256,0.8825,193.89K,1.47%
10-Sep-19,0.9062,0.9182,0.9312,0.8923,124.55K,-1.31%
9-Sep-19,0.9182,0.9237,0.9321,0.902,173.57K,-0.60%
8-Sep-19,0.9237,0.9312,0.935,0.9131,123.74K,-0.80%
7-Sep-19,0.9312,0.8845,0.9431,0.8786,209.50K,5.28%
6-Sep-19,0.8845,0.9262,0.9419,0.8672,214.67K,-4.50%
5-Sep-19,0.9262,0.9615,0.9636,0.8903,448.36K,-3.65%
4-Sep-19,0.9613,0.9736,0.9803,0.9543,154.44K,-1.25%
3-Sep-19,0.9736,1.0111,1.0199,0.968,261.49K,-3.71%
2-Sep-19,1.0111,0.9724,1.0302,0.9631,164.38K,3.97%
1-Sep-19,0.9724,0.9552,0.9793,0.9431,88.64K,1.80%
31-Aug-19,0.9552,0.9749,0.9815,0.9387,93.34K,-2.01%
30-Aug-19,0.9749,0.9553,0.9789,0.9368,130.60K,2.05%
29-Aug-19,0.9553,0.9582,0.9649,0.9273,213.37K,-0.31%
28-Aug-19,0.9582,1.0247,1.0247,0.9404,224.29K,-6.48%
27-Aug-19,1.0247,1.0377,1.0408,1.0117,153.75K,-1.24%
26-Aug-19,1.0375,1.0287,1.0557,1.0193,155.16K,0.86%
25-Aug-19,1.0287,1.0304,1.0811,1.0104,446.94K,-0.17%
